Player,Position,Seasons_plyd,Still_in_league,Tms_played_for,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,G,GS,MP,PER,FG,FGA,FG_pct,three_pt,three_pt_att,three_pt_pct,two_pt,two_pt_att,two_pt_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Damian Lillard,PG,5,1,1,22,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,396,396,14399,20.4,2975,6914,0.43,1042,2817,0.37,1933,4097,0.471,1888,2154,0.873,217,1376,1593,2446,368,110,1097,8880
Damion James,SF,3,0,2,23,24,78.25,79.5,84.75,106,37,143,30,136,224,8.2,9.25,8.5,37,17,623,6.77,61,147,0.347,0,6,0,61,141,0.376,28,42,0.77,25,105,130,26,23,20,38,150
Daniel Orton,PF,3,0,3,21,29,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,8.5,9.75,51,6,542,12.4,50,103,0.492,0,1,0,50,102,0.498,43,72,0.579,48,78,126,24,18,28,29,143
Dante Exum,PG,2,1,1,19,5,76.5,78,81.5,103,34.5,137.5,31.5,134.5,196,6.4,8.5,9.5,148,67,3045,7.15,300,779,0.388,127,413,0.305,173,366,0.464,78,105,0.71,57,206,263,310,62,26,198,805
Darington Hobson,SG,1,0,1,24,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,5,0,39,-3.3,2,13,0.154,0,6,0,2,7,0.286,0,0,0,0,3,3,6,0,0,2,4
Darius Johnson-Odom,SG,2,0,2,23,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,7,0,21,-14.85,0,11,0,0,4,0,0,7,0,0,2,0,1,5,6,2,1,0,2,0
Darius Miller,SF,3,0,2,22,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,102,10,1460,3.4,118,281,0.33,47,134,0.239,71,147,0.376,37,44,0.602,17,114,131,89,42,21,46,320
Darius Morris,PG,4,0,6,21,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,159,17,1777,7.21,205,528,0.383,59,184,0.291,146,344,0.463,68,107,0.566,47,105,152,233,58,2,139,537
DeMarcus Cousins,C,7,1,3,20,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,559,537,18035,22.99,4346,9494,0.457,343,1007,0.24,4003,8487,0.472,3215,4337,0.741,1571,4496,6067,1800,786,668,1955,12250
Derrick Caracter,C,1,0,1,22,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,41,0,215,10,32,66,0.485,0,0,0,32,66,0.485,17,23,0.739,19,24,43,7,4,10,19,81
Derrick Favors,PF,7,1,3,19,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,557,316,13883,17.33,2419,4738,0.51,4,26,0.052,2415,4712,0.511,1170,1779,0.641,1340,2507,3847,549,417,693,800,6012
Derrick Williams,PF,6,1,6,20,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,554,138,11479,12.02,1642,3786,0.43,307,1032,0.28,1335,2754,0.495,1144,1615,0.711,441,1704,2145,377,261,135,503,4735
Devin Ebanks,SG,3,0,1,21,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,63,15,711,11.33,82,213,0.386,8,36,0.224,74,177,0.41,52,72,0.742,51,71,122,24,18,12,35,224
Devyn Marble,SG,2,0,1,22,56,77,78.5,81,102,35,137,29,131,192,6.9,8.25,8.5,44,7,457,5.55,35,115,0.307,12,54,0.216,23,61,0.394,15,40,0.365,11,58,69,29,22,3,16,97
DeWayne Dedmon,C,4,1,5,24,0,82,83.5,88,109,32.5,141.5,28,137,239,8.4,9,11,255,84,3660,10.44,427,764,0.45,0,1,0,427,763,0.451,198,297,0.634,390,882,1272,76,89,201,180,1052
Dominique Jones,SG,3,0,1,22,25,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,9,10.25,80,4,741,11.6,83,227,0.358,2,21,0.079,81,206,0.387,78,107,0.756,33,81,114,144,29,10,76,246
Doron Lamb,SG,2,0,3,21,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,147,0,1849,5.45,183,486,0.377,64,164,0.376,119,322,0.37,69,104,0.64,24,117,141,107,37,1,79,499
Doug McDermott,SF,3,1,3,23,11,78.25,79.75,81.25,103,36.5,139.5,28.5,131.5,218,7.1,8.75,9.75,249,14,5198,9.66,778,1745,0.44,277,714,0.37,501,1031,0.489,224,267,0.791,83,513,596,181,44,17,146,2057
Draymond Green,SF,5,1,1,22,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,397,249,10627,14.4,1283,2950,0.417,361,1082,0.315,922,1868,0.474,639,920,0.71,490,2194,2684,1627,540,415,718,3566
Drew Gordon,PF,1,0,1,24,0,80,80.75,83.5,103.5,34,137.5,29,132.5,239,9.1,8.5,9.75,9,0,71,3.7,8,19,0.421,0,3,0,8,16,0.5,1,2,0.5,7,11,18,2,1,0,8,17
Dwight Powell,PF,3,1,3,23,45,81.5,83,84.5,105,35,140,28.5,133.5,234,6.2,9,9.25,204,5,2797,19.22,402,807,0.541,29,112,0.191,373,695,0.571,262,349,0.706,213,466,679,111,115,75,96,1095
Ed Davis,PF,7,1,5,21,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,562,122,11667,16.58,1625,2910,0.552,0,1,0,1625,2909,0.552,651,1131,0.583,1248,2274,3522,462,293,535,440,3901
Ekpe Udoh,C,5,0,4,23,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,331,63,5854,11.31,536,1248,0.43,0,5,0,536,1243,0.432,340,467,0.728,461,653,1114,236,164,426,242,1412
Elfrid Payton,PG,3,1,1,20,10,74.5,75.75,80,98.5,35.5,134,31.5,130,185,5.7,8.75,9,237,190,7046,14.97,1049,2350,0.444,81,280,0.287,968,2070,0.465,376,615,0.611,273,724,997,1530,319,80,558,2555
Enes Kanter,C,6,1,3,19,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,520,188,11614,19.76,2522,4780,0.529,48,152,0.379,2474,4628,0.535,1102,1430,0.765,1462,2206,3668,324,204,226,827,6194
Erik Murphy,C,1,0,1,23,49,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,8.75,9.75,24,0,62,0.2,3,13,0.231,0,3,0,3,10,0.3,0,0,0,2,6,8,2,0,4,2,6
E'Twaun Moore,PG,6,1,4,22,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,380,68,7106,10.73,1007,2314,0.432,278,753,0.373,729,1561,0.459,197,263,0.76,145,522,667,648,229,95,310,2489
Evan Turner,SG,7,1,5,22,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,615,309,17505,12.07,2695,6265,0.429,267,884,0.311,2428,5381,0.448,1093,1388,0.775,375,2701,3076,2230,510,136,1217,6750
Fab Melo,C,1,0,1,22,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,6,0,36,4.9,3,6,0.5,0,0,0,3,6,0.5,1,4,0.25,0,3,3,0,2,2,1,7
Festus Ezeli,C,3,0,1,23,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,170,61,2394,14.4,275,536,0.511,0,0,0,275,536,0.511,162,291,0.563,292,433,725,63,48,166,133,712
Gani Lawal,PF,1,0,1,22,46,79.75,81,84,106,34.5,140.5,30,136,229,7.2,8.5,10,1,0,2,-9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Rice,SF,2,0,1,23,35,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,8.5,9,16,1,152,1.5,14,52,0.249,6,24,0.219,8,28,0.275,9,13,0.691,6,18,24,9,6,1,11,43
Glenn Robinson,SF,3,1,4,21,40,77.5,78.75,82,100.5,41.5,142,36.5,137,211,5.1,9,9.5,184,33,2456,9.64,275,623,0.407,73,200,0.302,202,423,0.451,113,163,0.664,99,292,391,95,70,31,77,736
Gordon Hayward,SF,7,1,1,20,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,516,408,16164,17.13,2721,6129,0.448,689,1873,0.378,2032,4256,0.478,1946,2372,0.809,377,1771,2148,1762,527,215,1059,8077
Grant Jerrett,PF,1,0,3,21,40,80.75,82.25,86,109,34,143,28.5,137.5,232,10.1,8.5,9.25,16,0,102,1.37,14,52,0.296,2,30,0.048,12,22,0.539,2,2,0.667,4,14,18,6,4,4,6,32
Greg Monroe,C,7,1,2,20,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,538,401,15955,20.24,3029,5924,0.515,0,12,0,3029,5912,0.516,1514,2147,0.705,1593,3114,4707,1216,614,332,1060,7572
Greg Smith,PF,5,0,3,21,0,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,149,12,1834,12.04,243,394,0.615,0,1,0,243,393,0.615,110,191,0.39,165,324,489,41,32,59,65,596
Greivis Vasquez,SG,7,1,7,24,28,76.75,78,79.25,101,28,129,24.5,125.5,197,6.9,7.75,9.25,480,180,11299,11.82,1655,3955,0.392,521,1469,0.333,1134,2486,0.427,518,626,0.816,145,1049,1194,2258,267,39,881,4349
Harrison Barnes,SF,5,1,2,20,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,386,325,11425,12.56,1757,3876,0.451,365,986,0.369,1392,2890,0.48,726,936,0.764,407,1412,1819,564,285,78,415,4605
Hassan Whiteside,C,5,1,2,21,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,217,152,5891,14.56,1210,2069,0.447,0,0,0,1210,2069,0.447,522,855,0.439,692,1782,2474,93,130,568,354,2942
Henry Sims,C,4,0,5,22,0,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,9.25,10,181,86,3417,16.97,533,1130,0.489,4,24,0.03,529,1106,0.492,311,409,0.615,352,555,907,192,104,84,194,1381
Hollis Thompson,SF,4,1,3,22,0,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,8.25,9.75,305,99,7176,8.53,819,1995,0.39,395,1036,0.356,424,959,0.422,222,316,0.685,218,721,939,327,186,74,224,2255
Iman Shumpert,PG,6,1,3,21,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,432,224,11006,10.49,1207,3029,0.399,446,1311,0.341,761,1718,0.443,373,496,0.737,335,1165,1500,839,514,106,544,3233
Isaiah Canaan,PG,4,1,4,22,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,232,81,4686,10.95,646,1738,0.375,401,1126,0.345,245,612,0.418,299,362,0.815,69,352,421,392,144,23,256,1992
Isaiah Thomas,PG,6,1,4,22,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,508,310,14940,20.78,3061,6948,0.436,995,2707,0.367,2066,4241,0.482,2421,2768,0.868,279,1014,1293,2562,488,51,1174,9538
Jabari Brown,SG,1,0,1,22,0,75,76.25,80.25,100,32,132,28,128,202,6.1,9,9.25,19,5,568,11,70,170,0.412,23,62,0.371,47,108,0.435,64,85,0.753,3,33,36,40,12,2,32,227
Jae Crowder,SF,5,1,3,22,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,465,203,10544,13.36,1422,3286,0.429,514,1516,0.33,908,1770,0.512,683,872,0.782,343,1412,1755,632,464,146,350,4041
JaJuan Johnson,PF,1,0,1,22,27,81,82,86,107.5,38,145.5,33.5,141,220,7.5,9,10,36,0,298,11.4,54,121,0.446,0,0,0,54,121,0.446,6,9,0.667,20,38,58,6,5,14,14,114
James Anderson,SF,5,0,5,21,20,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,9,7,286,85,4721,10.76,577,1402,0.404,217,671,0.342,360,731,0.457,200,261,0.792,126,506,632,333,136,60,241,1571
James Ennis,SF,3,1,4,24,50,77.75,79,83.5,104.5,36.5,141,29.5,134,201,4.5,8.5,8.75,170,41,3210,13.12,355,794,0.358,134,348,0.313,221,446,0.401,215,272,0.625,162,357,519,154,103,46,136,1059
James Southerland,SF,1,0,3,23,0,79,80,85,106,32,138,29,135,221,8.1,8,9.5,8,0,60,-3.7,10,30,0.25,6,12,0.367,4,18,0.169,2,4,0.333,0,16,16,0,2,4,2,28
JaMychal Green,PF,3,1,3,24,0,80,81,86.25,106.5,32.5,139,29.5,136,217,9.8,9.25,9.25,203,92,3875,13.74,534,1089,0.537,70,202,0.142,464,887,0.625,253,324,0.631,344,663,1007,159,102,77,205,1391
Jared Sullinger,PF,5,1,2,20,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,269,172,6532,14.02,1172,2686,0.421,141,518,0.24,1031,2168,0.465,408,564,0.682,684,1322,2006,477,180,161,332,2893
Jarnell Stokes,PF,3,1,4,21,35,79,80.5,85.25,103.5,36,139.5,31,134.5,263,8.2,9.75,10.5,35,2,169,21.1,28,48,0.554,0,0,0,28,48,0.554,18,34,0.407,19,25,44,8,8,5,7,74
Jarvis Varnado,PF,2,0,5,24,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,74,0,794,4.58,78,134,0.41,0,0,0,78,134,0.41,58,112,0.34,42,102,144,32,22,62,32,214
Jeff Withey,C,4,1,2,23,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,197,15,2033,17.33,243,458,0.527,0,4,0,243,454,0.531,165,230,0.718,180,328,508,64,56,153,74,651
Jeremy Lamb,SF,5,1,2,20,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,276,13,4688,14.48,847,1928,0.422,232,715,0.318,615,1213,0.484,288,350,0.854,114,716,830,316,148,87,184,2214
Jeremy Tyler,C,3,0,4,20,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,125,23,1102,8.84,166,373,0.338,0,1,0,166,372,0.338,63,112,0.487,104,185,289,26,24,44,74,395
Jimmer Fredette,PG,5,0,5,22,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,290,7,3685,15.19,625,1485,0.47,234,592,0.422,391,893,0.377,214,244,0.783,60,228,288,388,106,14,268,1698
Jimmy Butler,SG,6,1,1,22,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,399,294,12880,18.15,2007,4483,0.44,338,1002,0.317,1669,3481,0.473,1856,2241,0.812,568,1353,1921,1254,583,183,562,6208
Joe Harris,SG,3,1,2,23,33,76.75,78.25,78,100,33.5,133.5,28.5,128.5,215,6.2,8.5,9.75,108,12,1646,6,203,486,0.358,117,309,0.335,86,177,0.32,44,64,0.438,23,168,191,82,37,10,83,567
John Jenkins,SG,5,1,4,21,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,188,11,2330,11.43,340,760,0.435,111,312,0.341,229,448,0.492,121,143,0.887,38,232,270,151,39,13,113,912
John Wall,PG,7,1,1,20,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,500,488,18031,19.53,3417,7888,0.432,426,1327,0.28,2991,6561,0.454,2159,2728,0.792,292,1925,2217,4610,870,322,1913,9419
Johnny O'Bryant,PF,3,1,4,21,36,79.25,80.5,86.25,105,35.5,140.5,31,136,257,10.8,9.25,9.5,122,19,1385,11.2,160,389,0.456,7,13,0.5,153,376,0.455,49,79,0.69,109,169,278,61,23,14,68,376
Jon Leuer,PF,6,1,6,22,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,356,79,5594,13.26,923,1926,0.483,124,370,0.215,799,1556,0.509,282,374,0.645,336,998,1334,290,130,95,237,2252
Jordan Adams,SG,2,0,1,20,22,75.5,76.75,82,102,29.5,131.5,24.5,126.5,209,10.8,8.5,7.5,32,0,263,15.05,37,92,0.37,10,26,0.2,27,66,0.405,17,28,0.605,9,21,30,19,19,7,16,101
Jordan Clarkson,PG,3,1,1,22,46,75.25,77,80,98,38.5,136.5,33,131,186,4.3,8.25,9,220,136,6425,14.77,1219,2765,0.442,266,797,0.33,953,1968,0.484,429,530,0.81,198,552,750,611,227,27,395,3133
Jordan Crawford,SG,5,1,6,22,27,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,8,9,469,166,11385,13.32,2094,5116,0.409,528,1686,0.314,1566,3430,0.456,877,1053,0.816,254,942,1196,1493,320,37,882,5593
Jordan Hamilton,SF,5,0,5,21,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,211,33,3119,12.73,489,1215,0.407,207,582,0.366,282,633,0.432,109,154,0.563,121,502,623,179,117,54,148,1294
Jordan McRae,PG,2,1,3,24,58,75.75,77.25,84.5,104,34.5,138.5,27.5,131.5,179,5.2,8.75,8.5,81,6,774,13.08,126,306,0.422,38,95,0.429,88,211,0.439,69,90,0.759,14,66,80,69,14,8,44,359
Jordan Williams,C,1,0,1,21,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,43,5,635,14.5,77,152,0.507,0,0,0,77,152,0.507,43,66,0.652,66,90,156,11,21,15,23,197
Josh Selby,PG,2,0,1,20,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,38,0,296,1.7,31,94,0.31,3,21,0.15,28,73,0.359,18,25,0.711,2,18,20,34,9,0,36,83
Julius Randle,PF,3,1,1,20,7,79.75,81,84,105.5,35.5,141,29,134.5,250,9.4,8.75,8.25,156,133,4432,7.57,736,1611,0.417,27,99,0.183,709,1512,0.425,397,554,0.479,323,1142,1465,408,102,66,323,1896
Justin Harper,PF,3,1,3,22,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,22,0,150,4.5,18,53,0.369,8,29,0.295,10,24,0.33,1,3,0.167,5,13,18,4,3,3,12,45
K.J. McDaniels,SG,3,1,4,21,32,76.5,78,83.25,102,37,139,33,135,196,4.5,8.75,9.75,259,31,3949,10.11,527,1278,0.414,133,457,0.254,394,821,0.493,288,372,0.767,176,430,606,180,133,182,285,1475
Kawhi Leonard,SF,6,1,1,20,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,398,371,12154,21.32,2377,4798,0.497,518,1334,0.384,1859,3464,0.541,1236,1459,0.826,503,1966,2469,903,704,280,542,6508
Keith Benson,C,1,0,1,23,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,3,0,9,6,0,1,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0
Kelly Olynyk,C,4,1,1,22,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,278,36,5756,15.65,998,2094,0.477,254,691,0.365,744,1403,0.533,378,509,0.744,376,933,1309,471,194,128,374,2628
